opponent,arm,game_index,seat,outcome
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,0,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,1,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,2,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,3,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,4,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,5,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,6,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,7,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,8,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,9,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,10,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,11,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,12,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,13,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,14,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,15,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,16,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,17,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,18,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,19,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,20,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,21,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,22,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,23,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,24,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,25,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,26,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,27,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,28,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,29,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,30,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,31,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,32,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,33,second,win
