run,arm,opponent_id,game_index,seat,outcome,source_id,source_record
historical_student_e8,STUDENT,C61,0,first,loss,S15,0
historical_student_e8,STUDENT,C61,1,second,loss,S15,1
historical_student_e8,STUDENT,C61,2,first,loss,S15,2
historical_student_e8,STUDENT,C61,3,second,loss,S15,3
historical_student_e8,STUDENT,C61,4,first,loss,S15,4
historical_student_e8,STUDENT,C61,5,second,loss,S15,5
historical_student_e8,STUDENT,C61,6,first,win,S15,6
historical_student_e8,STUDENT,C61,7,second,loss,S15,7
historical_student_e8,STUDENT,C61,8,first,loss,S15,8
historical_student_e8,STUDENT,C61,9,second,loss,S15,9
historical_student_e8,STUDENT,C61,10,first,loss,S15,10
historical_student_e8,STUDENT,C61,11,second,loss,S15,11
historical_student_e8,STUDENT,C61,12,first,win,S15,12
historical_student_e8,STUDENT,C61,13,second,loss,S15,13
historical_student_e8,STUDENT,C61,14,first,loss,S15,14
historical_student_e8,STUDENT,C61,15,second,loss,S15,15
historical_student_e8,STUDENT,C61,16,first,loss,S15,16
historical_student_e8,STUDENT,C61,17,second,loss,S15,17
historical_student_e8,STUDENT,C61,18,first,loss,S15,18
historical_student_e8,STUDENT,C61,19,second,loss,S15,19
historical_student_e8,STUDENT,C61,20,first,loss,S15,20
historical_student_e8,STUDENT,C61,21,second,loss,S15,21
historical_student_e8,STUDENT,C61,22,first,loss,S15,22
historical_student_e8,STUDENT,C61,23,second,loss,S15,23
historical_student_e8,STUDENT,C61,24,first,loss,S15,24
historical_student_e8,STUDENT,C61,25,second,loss,S15,25
historical_student_e8,STUDENT,C61,26,first,loss,S15,26
historical_student_e8,STUDENT,C61,27,second,loss,S15,27
historical_student_e8,STUDENT,C61,28,first,loss,S15,28
historical_student_e8,STUDENT,C61,29,second,loss,S15,29
historical_student_e8,STUDENT,C61,30,first,loss,S15,30
historical_student_e8,STUDENT,C61,31,second,loss,S15,31
historical_student_e8,STUDENT,C61,32,first,loss,S15,32
historical_student_e8,STUDENT,C61,33,second,loss,S15,33
historical_student_e8,STUDENT,C61,34,first,loss,S15,34
historical_student_e8,STUDENT,C61,35,second,loss,S15,35
historical_student_e8,STUDENT,C61,36,first,loss,S15,36
historical_student_e8,STUDENT,C61,37,second,loss,S15,37
historical_student_e8,STUDENT,C61,38,first,loss,S15,38
historical_student_e8,STUDENT,C61,39,second,loss,S15,39
historical_student_e8,STUDENT,C61,40,first,loss,S15,40
historical_student_e8,STUDENT,C61,41,second,loss,S15,41
historical_student_e8,STUDENT,C61,42,first,loss,S15,42
historical_student_e8,STUDENT,C61,43,second,loss,S15,43
historical_student_e8,STUDENT,C61,44,first,loss,S15,44
historical_student_e8,STUDENT,C61,45,second,loss,S15,45
historical_student_e8,STUDENT,C61,46,first,loss,S15,46
