arm,opponent,game_index,seat,outcome,end_reason,turns,candidate_prize_remaining,opponent_prize_remaining
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,0,first,loss,PRIZES,151,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,3,second,loss,PRIZES,117,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,2,first,win,PRIZES,190,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,1,second,loss,PRIZES,150,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,4,first,loss,PRIZES,107,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,6,first,loss,PRIZES,116,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,5,second,win,PRIZES,165,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,8,first,win,PRIZES,141,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,7,second,loss,PRIZES,118,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,10,first,win,PRIZES,163,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,9,second,win,PRIZES,141,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,11,second,win,PRIZES,127,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,12,first,win,PRIZES,142,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,13,second,win,PRIZES,148,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,14,first,loss,PRIZES,146,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,15,second,loss,PRIZES,118,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,16,first,loss,PRIZES,145,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,18,first,win,PRIZES,139,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,17,second,loss,PRIZES,122,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,19,second,loss,PRIZES,134,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,20,first,loss,PRIZES,144,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,22,first,win,PRIZES,111,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,21,second,loss,PRIZES,154,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,24,first,loss,PRIZES,90,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,23,second,loss,PRIZES,115,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,25,second,loss,PRIZES,100,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,27,second,loss,PRIZES,164,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,26,first,loss,PRIZES,149,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,28,first,loss,PRIZES,116,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,31,second,win,PRIZES,130,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,29,second,loss,PRIZES,146,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,32,first,loss,PRIZES,119,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,30,first,loss,PRIZES,133,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,33,second,loss,PRIZES,126,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,36,first,loss,NO_BENCH,62,5,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,34,first,loss,PRIZES,141,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,35,second,loss,PRIZES,116,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,37,second,win,PRIZES,136,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,39,second,win,PRIZES,131,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,38,first,win,PRIZES,142,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,40,first,loss,PRIZES,133,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,42,first,loss,PRIZES,131,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,43,second,loss,PRIZES,129,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,44,first,win,PRIZES,125,0,3
